Time,bid_quality,bid_volume,ask_quality,ask_volume,volume_diff,matching_volume,negotiable_volume,SMA10,SMA20,EMA_10,EMA_20,RSI_7d,RSI_9d,RSI_14d,Positive,Negative,return_vn30
2017-01-03,15143,75002000,16275,69305790,5696210,41741770,1144500,623.3340000000001,619.8315000000002,625.2265213801664,622.3532691394018,75.28362617171172,66.69928335577161,56.13059830235166,1,0,0
2017-01-04,16312,77875990,17660,81756780,-3880790,47308690,4979500,624.9300000000001,620.6535000000002,626.5853356746817,623.3386720785064,70.57184530045838,63.66786615798654,54.69264689401071,0,1,1
2017-01-05,15291,83740500,15100,72721460,11019040,45027320,5321542,626.5699999999999,621.6450000000002,628.0843655520123,624.4330842615058,73.97342746753678,66.71414352060413,56.8246963057128,1,0,1
2017-01-06,17567,114769910,19668,91979460,22790450,58776870,10995090,628.3689999999999,622.4895000000002,629.585389997101,625.5670762366004,76.24447728129877,68.80044381928458,58.32202521361823,0,1,1
2017-01-09,15323,78135910,15827,73267450,4868460,47877970,7176062,630.1339999999999,623.4275000000002,631.1880463612644,626.7892594521622,79.1413706564001,71.53835799987863,60.34262688566491,1,0,1
2017-01-10,14890,84433470,15355,64348610,20084860,37968380,4185100,631.8969999999998,624.7540000000002,632.6738561137618,627.9864728376706,80.43832520443331,72.7902104203519,61.28461702395621,0,0,1
2017-01-11,14439,60771400,14967,65212920,-4441520,43037760,7273212,633.8899999999999,626.5880000000003,634.6222459112596,629.4534754245591,85.00472576673668,77.47012833076133,65.03889214531605,0,1,0
2017-01-12,17220,82330800,15985,89290600,-6959800,55961210,2145790,635.6319999999998,627.9375000000002,636.0091102910305,630.6721920507915,78.92441292264876,73.44984849259465,63.17269955673513,0,1,0
2017-01-13,15339,72491340,16212,65943150,6548190,38211040,4103438,636.9439999999998,629.2785000000002,636.7474538744796,631.5672213792876,68.06286953324634,66.07331574579169,59.64805032007096,1,0,0
2017-01-16,13356,50204620,12852,58988750,-8784130,31884380,9228040,637.3929999999998,629.8615000000003,636.0115531700287,631.6751050574507,44.11652375473073,47.81109532275784,49.57723856044425,0,1,1
2017-01-17,14293,72168920,15058,69027410,3141510,45193950,6136820,637.7579999999998,630.5460000000003,636.2894525936598,632.2336664805506,55.98197395137662,56.66096900598357,54.95583902061458,1,0,0
2017-01-18,12646,58593580,14022,62209940,-3616360,38318350,3740320,637.7979999999999,631.3640000000003,635.7095521220853,632.3161744347839,45.61614991107599,48.22191983331371,49.71662009491335,0,1,0
2017-01-19,11211,47027740,11068,50213090,-3185350,28890260,5010380,637.4149999999998,631.9925000000003,634.8532699180697,632.190824488614,41.38744521779802,44.68096104036012,47.41421227700828,1,0,1
2017-01-20,12261,54161050,12447,50086970,4074080,31967340,3887190,637.2089999999998,632.7890000000003,634.7490390238752,632.3897935849365,49.85766406271166,51.00294545333043,51.2144526652115,1,0,1
2017-01-23,10905,48615910,12149,51394160,-2778250,31193760,4124779,636.9109999999998,633.5225000000003,634.8710319286251,632.6783846720854,52.63325414013374,53.09873135433757,52.49931975506759,0,0,1
2017-01-24,11830,71667630,11724,55557190,16110440,32623040,2088430,636.9069999999999,634.4020000000003,635.6799352143297,633.3109194652201,61.20441449139252,59.72835125558119,56.70070307755884,1,0,1
2017-01-25,11636,61391580,12274,59069330,2322250,31172150,7162079,637.0469999999998,635.4685000000003,637.3363106299062,634.4041652304372,70.06739972537736,67.07245264714534,61.80365719192721,1,0,1
2017-02-02,13318,66354270,14007,58650630,7703640,35196520,2017960,638.1199999999999,636.8760000000003,640.180617788105,636.173292351348,78.60524665200221,74.81017990468783,67.90304102897014,0,0,0
2017-02-03,18929,97848540,20491,93759760,4088780,41521500,3066210,639.231,638.0875000000003,642.180505462995,637.6025026036006,73.24807540599916,70.70220198884911,65.43009290651172,1,0,1
