Time,bid_quality,bid_volume,ask_quality,ask_volume,matching_volume,negotiable_volume,SMA10,SMA20,EMA_10,EMA_20,RSI_7d,RSI_9d,RSI_14d,Positive,Negative,return_vn30
2023-01-30,438771,1192501500,305452,1131723100,197903400,37557000,1098.807,1068.062000000001,1101.965329655506,1084.095463001925,73.67010217853128,72.019616286841,66.82066331565574,0,1,1
2023-01-31,528972,1459209800,405557,1718418600,285537600,15664338,1101.094,1072.098500000001,1099.442542445414,1084.47589509698,46.88611509622275,50.66257170399832,53.91158886383379,1,0,1
2023-02-01,413725,1100787700,288903,1129352700,164042900,13207130,1103.818,1076.075000000001,1098.358443818975,1085.333428897268,49.97860574705504,52.95038613667362,55.26805406290536,0,0,0
2023-02-02,324004,983517600,244619,945602600,184371900,33602015,1105.402,1079.945000000001,1096.056908579162,1085.368340430861,45.51587350598428,49.24248931421742,52.85015216056872,1,0,1
2023-02-03,311927,812511100,219465,792944500,144676700,55433758,1107.268,1084.404000000001,1095.750197928405,1086.225641342208,51.18313053259714,53.33891746861816,55.20219600060019,1,0,0
2023-02-06,398182,999616900,286015,1167003400,192814800,24712374,1103.845,1085.516500000001,1090.977434668695,1084.63272311914,37.96681134423756,42.31756467297615,47.83132369032831,1,0,1
2023-02-07,334871,906853600,253460,873627200,154785200,55526800,1099.611,1086.678000000001,1087.777901092569,1083.561035203031,40.75142110741268,44.33626347678808,48.97598701750558,0,0,0
2023-02-08,281696,744208600,224615,782492900,137746100,21850700,1093.41,1086.578500000001,1082.711009984829,1081.308555659886,34.48214778113518,39.00493016608339,45.2629335511209,1,0,1
2023-02-09,323612,777274700,216216,803027100,112861800,42182373,1085.219,1086.145500000001,1076.53446271486,1078.206788454182,30.01486712041665,35.07070394288002,42.3927488527099,0,0,0
2023-02-10,400572,974140800,240146,1060559400,156780900,14556670,1077.864,1085.108500000001,1069.964560403067,1074.606141934736,26.97112623339266,32.33146098441858,40.3361069149413,1,0,0
2023-02-13,268938,674449100,207282,690582700,110767700,35028077,1068.85,1083.828500000001,1063.594640329782,1070.827461750476,25.02897774672798,30.56968443653996,38.99971303024846,1,0,0
2023-02-14,305983,926216700,266757,892448900,180543800,46801800,1064.375,1082.734500000001,1059.91197845164,1068.20960825043,33.60479511388695,36.54992716383241,42.1719969394502,0,0,0
2023-02-15,272000,828245400,258673,806248500,122231200,27583045,1060.553,1082.185500000001,1059.066164187706,1066.97631222658,44.16588577700564,44.21195300803512,46.42474232218745,0,1,1
2023-02-16,304523,850762400,281015,926462800,121132100,19569399,1057.355,1081.3785,1058.094134335396,1065.713806300239,43.13178993484227,43.44936165634868,45.95453572514774,0,0,1
2023-02-17,329866,1274833100,335262,1009413300,190180000,18721143,1056.654,1081.961000000001,1063.415200819869,1067.775348557359,64.38390638997802,60.2840456227851,56.35385780419637,0,1,0
2023-02-20,388767,1187883100,389653,1327190300,162726500,22215656,1057.794,1080.819500000001,1066.594255216257,1069.02531536142,59.40981089762448,56.64129308780554,54.1971875824012,0,1,1
2023-02-21,479251,1324731800,334671,1336072600,185390800,25579600,1055.564,1077.587500000001,1063.773481540574,1067.316237707952,41.95422560928004,43.1125219192465,45.5343690379947,0,0,0
2023-02-22,450801,1152395100,280564,1080030900,171905400,25730960,1054.668,1074.039000000001,1061.441939442288,1065.757548402432,41.89162393560776,43.0620780477234,45.50022488005501,0,1,0
2023-02-23,314174,789444700,223853,831129500,95825600,12730358,1052.836,1069.027500000001,1055.801586816417,1062.392067602201,32.85829791412015,35.65109279809414,40.35394541792324,1,0,0
2023-02-24,370709,908255800,221322,873159800,135197000,21346058,1049.942,1063.903000000001,1047.739480122523,1057.541394497229,26.66342273762562,30.24338444503588,36.27353564307258,0,1,0
2023-02-27,267320,690145000,198118,721871500,89491700,16196267,1047.945,1058.397500000001,1041.779574645701,1053.486023592731,29.52495951592603,32.37367306904916,37.52930111122358,0,0,0
2023-02-28,312238,935810100,232774,805299200,116920400,14413300,1047.054,1055.714500000001,1040.443288346482,1051.671164202947,43.76549364981842,43.22453371696591,44.12538060444761,1,0,1
2023-03-01,227811,638995700,230801,750496800,89256500,10347283,1044.401,1052.477000000001,1038.313599556213,1049.486291421714,40.93999913803142,41.05495508761972,42.70380590225123,0,1,1
2023-03-02,277821,723338500,239355,842129100,87583900,16720128,1040.364,1048.859500000001,1033.774763273265,1046.044739857741,34.02504089476118,35.62676043348477,39.04828440007349,1,0,0
2023-03-03,217971,752276300,238111,742153000,116857200,9100988,1033.054,1044.854000000001,1030.226624496308,1043.017621776052,34.78539941696891,36.18836070942852,39.37894010930209,0,1,0
2023-03-06,254407,810430000,272603,922650000,144462100,25949848,1027.68,1042.737000000001,1029.66905640607,1041.507372083094,45.22566425161664,43.98215887888782,44.01545092833337,0,1,1
2023-03-07,295546,976219900,259319,901915200,141321700,15369072,1026.631,1041.097500000001,1031.654682514057,1041.420003313276,54.14248928381325,50.99266205923428,48.43702312281366,1,0,1
2023-03-08,300123,1048375800,348714,1112499900,184273800,12924370,1026.564,1040.616,1035.041103875138,1042.263812521535,59.6691751889673,55.51191663005749,51.41837360260699,0,0,1
2023-03-09,339675,898362600,262122,948995000,128916400,4997243,1028.242,1040.539,1037.251812261476,1042.733925614722,57.11653338796763,53.73984384630965,50.42045879473187,1,0,1
2023-03-10,315221,964583700,257579,951213500,194875200,48649200,1032.103,1041.0225,1039.582391850299,1043.432599365701,59.02228187127795,55.23777115745933,51.36760420717504,0,0,0
2023-03-13,416944,1002093400,260526,1074661000,168371200,14120800,1034.342,1041.1435,1039.176502422972,1042.853304188015,47.99385977506377,47.55926836198221,47.07523970579884,0,1,1
2023-03-14,259069,1090907000,295836,985855600,188587900,32452960,1037.337,1042.1955,1043.758956527886,1044.903465693919,64.4581532265138,60.63943283224585,55.57124944581219,0,0,0
2023-03-15,320901,878053500,256198,1005212600,149054800,33001892,1039.163,1041.782000000001,1044.346418977361,1045.102183246879,52.08221236349638,51.36625795783601,50.00909185294088,1,0,1
2023-03-16,245769,914056800,250987,1069056700,181681000,20575378,1042.599,1041.4815,1044.957979163295,1045.350546747176,52.52253156509396,51.71022272420558,50.23120173433664,1,0,0
2023-03-17,330927,824172700,226756,956548300,145469200,19468244,1043.623,1038.3385,1041.238346588151,1043.364780390302,39.0331070417348,41.15448464305578,43.51875779520357,0,0,1
2023-03-20,245463,762086400,224941,770118300,138383800,18369274,1044.411,1036.0455,1040.111374481214,1042.571944162654,46.3352324056192,46.71175595094439,46.98348041109275,1,0,0
2023-03-21,208086,721006800,263322,907910700,138724000,28154440,1044.666,1035.6485,1040.662033666448,1042.626044718592,51.53922613586393,50.73420588297767,49.54499916745795,1,0,1
2023-03-22,248289,784491800,220627,780208800,112085300,17883921,1044.298,1035.431,1041.741663908912,1043.004516650155,53.77320551684291,52.45874665605606,50.64203134811077,0,0,1
2023-03-23,273154,957354800,314766,1108538000,157939400,18892440,1044.72,1036.481,1043.501361380019,1043.805991254902,56.99519091856676,54.93119638810035,52.20118147579173,1,0,1
2023-03-24,274121,994106000,305006,1048252200,163098000,18821270,1045.358,1038.7305,1045.855659310924,1045.010182563959,60.35907702761156,57.52458693735383,53.83989513513462,0,1,1
2023-03-27,302526,1036757700,350820,1259954700,188766000,19518900,1047.505,1040.9235,1048.212812163484,1046.325403272153,61.99330094462295,58.78181380762689,54.6291689420142,1,0,1
