Date; close 
02/01/2018;993
03/01/2018;1005
04/01/2018;1014
05/01/2018;1008
08/01/2018;1024
09/01/2018;1040
10/01/2018;1040
11/01/2018;1047
12/01/2018;1050
15/01/2018;1063
16/01/2018;1062
17/01/2018;1030
18/01/2018;1049
19/01/2018;1053
22/01/2018;1083
23/01/2018;1083
25/01/2018;1096
26/01/2018;1104
29/01/2018;1097
30/01/2018;1099
31/01/2018;1096
01/02/2018;1087
02/02/2018;1090
05/02/2018;1035
06/02/2018;1008
07/02/2018;1031
08/02/2018;1014
09/02/2018;997
12/02/2018;1035
13/02/2018;1054
21/02/2018;1075
22/02/2018;1064
23/02/2018;1090
26/02/2018;1100
27/02/2018;1106
28/02/2018;1108
01/03/2018;1106
02/03/2018;1107
05/03/2018;1081
06/03/2018;1103
07/03/2018;1092
08/03/2018;1105
09/03/2018;1107
12/03/2018;1107
13/03/2018;1111
14/03/2018;1115
15/03/2018;1110
16/03/2018;1113
19/03/2018;1130
20/03/2018;1134
21/03/2018;1147
22/03/2018;1145
23/03/2018;1129
26/03/2018;1147
27/03/2018;1150
28/03/2018;1151
29/03/2018;1145
30/03/2018;1153
02/04/2018;1171
03/04/2018;1161
04/04/2018;1166
05/04/2018;1169
06/04/2018;1174
09/04/2018;1178
10/04/2018;1168
11/04/2018;1137
12/04/2018;1144
13/04/2018;1134
16/04/2018;1128
17/04/2018;1130
18/04/2018;1116
19/04/2018;1066
20/04/2018;1089
23/04/2018;1055
24/04/2018;1054
26/04/2018;1019
27/04/2018;1028
02/05/2018;1013
03/05/2018;1010
04/05/2018;1011
07/05/2018;1048
08/05/2018;1048
09/05/2018;1046
10/05/2018;1020
11/05/2018;1031
14/05/2018;1051
15/05/2018;1055
16/05/2018;1034
17/05/2018;1007
18/05/2018;1022
21/05/2018;997
22/05/2018;959
23/05/2018;969
24/05/2018;961
25/05/2018;936
28/05/2018;898
29/05/2018;925
30/05/2018;919
31/05/2018;947
01/06/2018;969
04/06/2018;997
05/06/2018;1007
06/06/2018;1023
07/06/2018;1027
08/06/2018;1026
11/06/2018;1025
12/06/2018;1009
13/06/2018;1019
14/06/2018;1004
15/06/2018;1005
