Date,Close,Open,High,Low,Volume,sma_10,sma_20,ema_10,ema_20,rsi_7,rsi_9,rsi_14
2017-02-06,654.03,652.5,654.03,649.35,35400.0,641.36,639.38,644.53,640.89,93.24,74.86,63.91
2017-02-07,656.48,654.24,657.42,653.88,50070.0,643.26,640.51,646.7,642.37,93.02,87.49,62.8
2017-02-08,657.97,657.62,657.97,655.12,41560.0,645.74,641.77,648.75,643.86,93.12,94.11,65.26
2017-02-09,658.83,658.4,660.08,657.65,50150.0,648.53,642.97,650.58,645.29,92.21,93.61,68.69
2017-02-10,658.78,659.12,659.81,657.65,43520.0,650.98,644.09,652.07,646.57,89.54,93.16,80.42
2017-02-13,662.68,660.03,662.83,659.32,46710.0,653.7,645.31,654.0,648.1,86.19,93.16,79.99
2017-02-14,663.43,664.11,665.24,660.57,53470.0,656.12,646.51,655.72,649.56,99.6,91.72,89.67
2017-02-15,669.08,663.43,670.06,663.43,52680.0,658.54,647.8,658.15,651.42,99.67,90.66,95.57
2017-02-16,667.72,670.49,676.65,667.47,75920.0,660.02,649.07,659.89,652.98,89.97,92.72,91.95
2017-02-17,668.1,667.09,668.76,664.49,57270.0,661.71,650.47,661.38,654.42,89.11,91.65,91.79
2017-02-20,667.56,664.9,669.5,663.11,69310.0,663.06,652.21,662.5,655.67,84.56,86.98,89.51
2017-02-21,671.52,668.3,673.77,668.3,57990.0,664.57,653.91,664.14,657.18,88.51,88.83,89.04
2017-02-22,668.61,671.96,672.43,666.49,66150.0,665.63,655.69,664.95,658.27,69.07,75.08,76.99
2017-02-23,667.42,668.69,670.97,662.06,54390.0,666.49,657.51,665.4,659.14,62.48,70.93,78.65
2017-02-24,661.81,667.27,668.3,661.37,67860.0,666.79,658.89,664.75,659.39,27.21,48.05,62.51
2017-02-27,666.22,659.63,666.64,659.63,53160.0,667.15,660.43,665.02,660.04,46.05,55.36,64.73
2017-02-28,657.95,667.17,667.7,657.95,37910.0,666.6,661.36,663.73,659.84,31.13,30.56,49.97
2017-03-01,655.99,656.69,657.64,649.45,51820.0,665.29,661.92,662.32,659.48,29.57,29.93,46.53
2017-03-02,653.76,655.94,658.71,653.76,41820.0,663.89,661.96,660.77,658.93,16.59,26.93,44.18
2017-03-03,656.77,654.36,657.41,650.59,39680.0,662.76,662.24,660.04,658.73,27.81,33.92,43.0
2017-03-06,658.61,657.26,660.79,657.26,42180.0,661.87,662.46,659.78,658.71,33.88,29.46,44.44
2017-03-07,659.9,658.21,659.9,656.36,39890.0,660.7,662.64,659.8,658.83,45.85,35.39,38.22
2017-03-08,662.48,659.64,665.2,658.54,36990.0,660.09,662.86,660.29,659.18,41.17,42.08,43.48
2017-03-09,664.3,662.3,666.66,662.04,63380.0,659.78,663.13,661.02,659.66,71.55,54.54,45.43
2017-03-10,663.49,664.59,667.49,663.49,55050.0,659.95,663.37,661.47,660.03,77.61,44.27,45.14
2017-03-13,662.67,663.86,664.49,659.95,32860.0,659.59,663.37,661.69,660.28,86.61,64.43,38.58
2017-03-14,665.46,663.13,667.67,662.82,30190.0,660.34,663.47,662.37,660.77,86.36,77.55,45.92
2017-03-15,663.57,666.46,667.42,663.54,35480.0,661.1,663.2,662.59,661.04,70.67,79.11,45.11
2017-03-16,668.07,663.85,668.07,663.85,58020.0,662.53,663.21,663.59,661.71,76.86,80.81,58.19
2017-03-17,668.35,669.4,671.07,668.35,108030.0,663.69,663.23,664.45,662.34,72.73,79.02,53.12
2017-03-20,676.02,672.52,678.78,672.52,46720.0,665.43,663.65,666.56,663.64,81.24,84.8,76.98
2017-03-21,679.69,677.14,682.28,677.14,78370.0,667.41,664.06,668.94,665.17,87.47,85.48,83.66
2017-03-22,677.96,679.78,685.9,677.96,90740.0,668.96,664.52,670.58,666.39,83.93,78.27,84.87
2017-03-23,689.32,677.07,689.32,677.07,68420.0,671.46,665.62,673.99,668.57,88.36,87.21,87.8
2017-03-24,691.76,692.52,696.22,689.95,97400.0,674.29,667.12,677.22,670.78,94.53,90.04,87.97
2017-03-27,693.49,692.82,695.53,691.38,87540.0,677.37,668.48,680.18,672.94,94.01,89.74,88.09
2017-03-28,688.31,693.91,695.04,687.41,75180.0,679.65,670.0,681.66,674.41,79.54,82.08,77.66
2017-03-29,689.91,688.57,689.91,685.69,70110.0,682.29,671.69,683.16,675.88,75.06,80.62,77.56
2017-03-30,692.5,692.11,696.93,692.11,73330.0,684.73,673.63,684.86,677.47,74.05,81.8,80.06
2017-03-31,693.22,693.56,696.97,693.01,61350.0,687.22,675.45,686.38,678.97,79.78,77.72,81.72
2017-04-03,696.73,693.42,697.32,693.42,70070.0,689.29,677.36,688.26,680.66,70.85,77.61,81.99
2017-04-04,699.07,699.35,702.05,698.49,72180.0,691.23,679.32,690.22,682.41,70.68,83.54,85.99
2017-04-05,691.07,697.99,698.88,691.07,75790.0,692.54,680.75,690.38,683.24,44.95,53.11,71.77
2017-04-07,697.62,687.09,697.62,685.63,83400.0,693.37,682.41,691.7,684.61,68.39,59.09,74.77
2017-04-10,696.72,698.49,699.86,696.66,50580.0,693.86,684.08,692.61,685.76,63.84,55.14,69.78
2017-04-11,697.93,696.78,699.4,696.71,61690.0,694.31,685.84,693.58,686.92,61.69,67.54,68.29
2017-04-12,692.4,697.92,698.87,689.77,76990.0,694.72,687.19,693.36,687.44,48.54,53.97,63.46
2017-04-13,687.72,692.5,693.81,687.72,56770.0,694.5,688.39,692.34,687.47,34.58,42.85,48.3
2017-04-14,678.45,686.45,686.45,674.94,59120.0,693.09,688.91,689.81,686.61,21.47,32.41,37.63
2017-04-17,669.31,680.27,683.48,669.31,48710.0,690.7,688.96,686.08,684.96,20.82,21.21,30.25
2017-04-18,675.71,669.67,675.71,665.35,51820.0,688.6,688.94,684.2,684.08,20.5,27.4,39.91
2017-04-19,679.69,675.67,679.69,675.12,40460.0,686.66,688.94,683.38,683.66,28.82,38.06,42.12
2017-04-20,674.3,679.43,679.7,674.3,32410.0,684.98,688.76,681.73,682.77,23.38,24.92,36.54
2017-04-21,672.6,676.35,677.83,671.95,31050.0,682.48,687.93,680.07,681.8,25.59,24.5,34.97
2017-04-24,667.08,671.8,673.13,667.08,35450.0,679.52,686.69,677.71,680.4,25.07,20.11,29.0
2017-04-25,668.58,667.96,670.32,665.66,28040.0,676.58,685.45,676.05,679.27,35.33,24.97,28.15
2017-04-26,673.53,669.12,673.53,667.96,36840.0,674.7,684.71,675.59,678.73,57.17,35.17,36.86
2017-04-27,681.36,673.67,682.41,673.67,47240.0,674.06,684.28,676.64,678.98,59.15,53.14,38.04
2017-04-28,680.49,678.59,683.14,677.21,61610.0,674.27,683.68,677.34,679.12,51.44,64.66,38.06
2017-05-03,684.99,681.7,684.99,680.95,51220.0,675.83,683.27,678.73,679.68,69.89,62.8,40.92
2017-05-04,686.29,684.8,688.75,683.44,66800.0,676.89,682.75,680.1,680.31,75.86,59.83,45.44
2017-05-05,684.17,684.95,687.41,684.09,45270.0,677.34,682.0,680.84,680.68,87.04,66.29,47.25
2017-05-08,681.11,683.15,684.17,681.06,59550.0,678.02,681.5,680.89,680.72,75.44,63.44,52.28
2017-05-09,688.08,680.42,688.08,680.34,74910.0,679.57,681.03,682.2,681.42,77.3,81.72,66.73
2017-05-10,690.53,689.07,695.66,689.07,58660.0,681.91,680.72,683.71,682.29,71.56,82.23,64.21
2017-05-11,691.02,692.13,693.19,689.69,49920.0,684.16,680.37,685.04,683.12,75.2,79.55,61.64
2017-05-12,690.84,691.46,693.85,690.29,45700.0,685.89,680.29,686.1,683.85,67.65,71.6,69.04
2017-05-15,695.22,691.33,696.86,691.33,51270.0,687.27,680.67,687.76,684.94,72.72,78.94,74.52
2017-05-16,692.91,695.86,698.67,692.91,71740.0,688.52,681.39,688.69,685.7,72.03,67.02,80.1
2017-05-17,696.37,692.95,697.47,691.06,44660.0,689.65,682.74,690.09,686.71,87.7,69.83,80.97
2017-05-18,695.3,693.93,701.28,693.92,57620.0,690.56,683.72,691.04,687.53,75.17,72.84,76.56
2017-05-19,702.03,696.66,702.03,695.53,60060.0,692.34,684.84,693.03,688.91,80.88,87.3,75.91
2017-05-22,710.86,707.27,715.28,706.84,85450.0,695.32,686.67,696.28,691.0,86.8,88.09,81.73
2017-05-23,708.62,711.96,713.7,708.11,63810.0,697.37,688.47,698.52,692.68,80.63,80.46,75.92
2017-05-24,718.28,710.81,719.59,710.27,66780.0,700.14,691.03,702.11,695.12,83.62,85.07,79.65
2017-05-25,716.4,718.42,722.06,715.78,69060.0,702.68,693.42,704.71,697.14,84.68,81.51,80.0
2017-05-26,718.87,716.24,719.36,716.07,52300.0,705.49,695.69,707.28,699.21,84.22,80.6,85.54
2017-05-29,722.26,723.27,725.2,721.92,67600.0,708.19,697.73,710.01,701.41,88.3,86.94,84.5
2017-05-30,711.48,722.82,723.54,711.48,70920.0,710.05,699.28,710.28,702.37,62.04,66.06,68.1
2017-05-31,713.43,712.02,719.32,709.73,55600.0,711.75,700.7,710.85,703.42,53.97,68.91,68.89
2017-06-01,719.76,713.63,719.76,713.63,41830.0,714.2,702.38,712.47,704.98,65.28,68.65,72.08
2017-06-02,718.33,720.39,720.75,715.7,43040.0,715.83,704.08,713.53,706.25,50.09,59.31,68.48
2017-06-05,721.74,719.05,724.35,719.05,51860.0,716.92,706.12,715.03,707.72,58.97,65.88,72.65
2017-06-06,732.69,722.59,732.69,722.59,69350.0,719.32,708.35,718.24,710.1,68.07,66.92,75.53
2017-06-07,737.18,736.17,739.51,734.95,66900.0,721.21,710.68,721.68,712.68,68.96,72.99,78.09
2017-06-08,737.52,737.75,740.25,734.03,55370.0,723.33,713.0,724.56,715.05,95.05,71.65,76.04
2017-06-09,740.2,738.47,743.9,738.47,56510.0,725.46,715.47,727.41,717.44,95.17,71.18,73.66
2017-06-12,736.86,740.65,742.0,735.26,45620.0,726.92,717.55,729.12,719.29,82.09,86.34,72.38
2017-06-13,741.39,737.03,741.39,734.53,48570.0,729.91,719.98,731.35,721.4,88.77,87.28,69.93
2017-06-14,745.53,744.42,748.04,743.67,67560.0,733.12,722.44,733.93,723.69,89.04,86.49,74.18
2017-06-15,746.59,746.87,750.71,744.58,63720.0,735.8,725.0,736.23,725.88,83.77,90.44,73.56
2017-06-16,750.07,751.5,751.5,748.08,96610.0,738.98,727.4,738.75,728.18,82.93,90.46,73.6
2017-06-19,757.5,754.03,757.5,753.36,65740.0,742.55,729.74,742.16,730.97,87.47,89.39,91.41
2017-06-20,759.67,759.73,761.04,756.77,58500.0,745.25,732.29,745.34,733.7,87.23,88.55,91.45
2017-06-21,759.84,758.49,759.84,749.47,69940.0,747.52,734.37,747.98,736.19,100.0,88.48,90.39
2017-06-22,757.94,759.65,761.62,757.13,57510.0,749.56,736.44,749.79,738.27,90.66,81.43,89.54
2017-06-23,758.24,757.44,758.98,752.69,49700.0,751.36,738.41,751.33,740.17,88.49,92.45,88.85
2017-06-26,760.8,759.9,762.27,757.98,48280.0,753.76,740.34,753.05,742.13,89.45,91.81,86.42
2017-06-27,755.07,761.96,761.96,754.23,65320.0,755.12,742.52,753.42,743.36,62.34,69.23,72.46
2017-06-28,757.1,754.16,757.1,751.2,53180.0,756.28,744.7,754.09,744.67,48.65,70.39,73.58
2017-06-29,761.21,759.13,763.14,758.94,48070.0,757.74,746.77,755.38,746.25,54.58,71.1,74.46
2017-06-30,765.41,763.63,766.29,763.0,61310.0,759.28,749.13,757.2,748.07,63.37,67.07,82.58
2017-07-03,765.8,765.52,770.56,765.52,63170.0,760.11,751.33,758.77,749.76,70.34,64.33,80.77
2017-07-04,763.92,765.88,767.28,760.9,62770.0,760.53,752.89,759.7,751.11,63.59,58.83,74.58
2017-07-05,765.87,764.91,765.87,761.28,48990.0,761.14,754.33,760.83,752.52,62.49,67.13,75.17
2017-07-06,770.58,768.8,771.13,768.37,65780.0,762.4,755.98,762.6,754.24,90.24,72.39,75.94
2017-07-07,761.61,771.89,771.98,761.61,72860.0,762.74,757.05,762.42,754.94,58.6,51.19,55.0
2017-07-10,750.79,761.69,761.69,748.06,66980.0,761.74,757.75,760.3,754.54,34.17,44.52,41.07
2017-07-11,752.75,750.4,753.2,743.13,55320.0,761.5,758.31,758.93,754.37,29.37,44.42,43.12
2017-07-12,757.57,756.08,758.72,752.27,49810.0,761.55,758.92,758.68,754.68,38.28,45.42,49.66
2017-07-13,761.36,759.8,761.36,755.81,47470.0,761.57,759.66,759.17,755.31,46.54,44.85,52.69
2017-07-14,759.97,762.77,764.53,759.01,46730.0,761.02,760.15,759.32,755.76,41.91,42.76,49.27
2017-07-17,745.59,758.53,758.74,741.66,68030.0,759.0,759.55,756.82,754.79,22.91,32.64,42.75
2017-07-18,741.32,739.25,743.0,733.6,54150.0,756.74,758.64,754.0,753.51,25.51,27.73,38.34
2017-07-19,737.77,745.44,745.73,737.77,45710.0,753.93,757.53,751.05,752.01,30.94,19.59,32.53
2017-07-20,736.64,735.45,736.64,732.08,47890.0,750.54,756.47,748.43,750.54,25.83,22.92,27.53
2017-07-21,728.47,737.37,739.48,728.47,45320.0,747.22,754.98,744.8,748.44,10.33,24.32,24.0
2017-07-24,729.54,727.57,730.86,723.45,31950.0,745.1,753.42,742.03,746.64,3.15,22.74,25.78
2017-07-25,737.93,727.79,737.93,727.79,36620.0,743.62,752.56,741.28,745.81,23.1,28.72,31.96
2017-07-26,745.79,739.68,745.84,736.34,43750.0,742.44,751.99,742.1,745.81,50.29,34.5,34.62
2017-07-27,743.7,744.5,747.08,741.96,34690.0,740.67,751.12,742.39,745.61,53.69,34.02,37.85
2017-07-28,749.86,742.77,749.86,742.2,49470.0,739.66,750.34,743.75,746.01,67.34,55.0,49.33
2017-07-31,756.24,748.88,756.24,747.61,68480.0,740.73,749.86,746.02,746.99,74.43,66.65,52.38
2017-08-01,758.36,755.5,758.81,754.64,52340.0,742.43,749.59,748.26,748.07,93.87,73.74,50.56
2017-08-02,756.04,753.85,759.52,750.75,60070.0,744.26,749.09,749.68,748.83,87.51,71.77,46.16
2017-08-03,757.88,755.7,761.17,755.7,56570.0,746.38,748.46,751.17,749.69,84.67,88.46,48.5
2017-08-04,761.44,757.79,761.44,757.79,44280.0,749.68,748.45,753.04,750.81,81.98,89.17,63.45
2017-08-07,763.08,762.13,766.12,761.2,43390.0,753.03,749.06,754.86,751.98,90.34,87.02,69.33
2017-08-08,758.42,764.7,764.7,757.47,43870.0,755.08,749.35,755.51,752.59,69.01,70.52,67.99
2017-08-09,741.36,755.32,755.32,741.36,61760.0,754.64,748.54,752.94,751.52,27.59,47.44,53.22
2017-08-10,743.42,737.72,745.34,737.72,39800.0,754.61,747.64,751.21,750.75,27.46,42.27,61.12
2017-08-11,744.99,742.18,746.42,739.3,44930.0,754.12,746.89,750.08,750.2,32.94,34.73,61.41
2017-08-14,751.39,744.72,751.39,744.45,33530.0,753.64,747.18,750.32,750.32,41.22,41.52,60.24
2017-08-15,746.07,752.13,752.25,744.93,33670.0,752.41,747.42,749.54,749.91,30.15,38.7,50.22
2017-08-16,749.37,746.07,749.37,741.57,43680.0,751.74,748.0,749.51,749.86,33.02,40.66,54.4
2017-08-17,743.2,749.35,750.58,743.2,46160.0,750.27,748.33,748.36,749.23,31.83,31.07,44.83
2017-08-18,744.3,739.31,745.91,738.33,33250.0,748.56,749.12,747.63,748.76,55.67,30.29,39.9
2017-08-21,743.66,744.23,744.96,741.68,29390.0,746.62,749.82,746.9,748.27,50.49,33.08,37.25
2017-08-22,738.2,743.86,743.86,736.88,30050.0,744.6,749.84,745.32,747.31,38.04,45.07,35.32
2017-08-23,743.1,739.46,743.1,736.71,26210.0,744.77,749.7,744.92,746.91,34.59,49.54,38.42
2017-08-24,747.72,743.23,749.82,742.34,33630.0,745.2,749.9,745.43,746.99,53.15,53.6,39.43
2017-08-25,751.14,746.87,751.14,746.87,32780.0,745.82,749.97,746.47,747.38,53.36,49.64,41.05
2017-08-28,758.02,751.59,758.02,749.2,42760.0,746.48,750.06,748.57,748.4,77.42,66.37,49.71
2017-08-29,754.59,757.84,758.76,754.59,44550.0,747.33,749.87,749.66,748.99,67.53,57.13,61.97
2017-08-30,764.57,756.49,764.57,755.32,34230.0,748.85,750.3,752.37,750.47,77.02,76.43,66.74
2017-08-31,770.08,765.47,772.91,764.22,52330.0,751.54,750.91,755.59,752.34,91.15,78.75,68.69
2017-09-01,774.06,770.97,774.76,770.39,35510.0,754.51,751.54,758.95,754.41,90.93,81.55,67.52
2017-09-05,777.02,775.28,778.71,771.68,36890.0,757.85,752.23,762.24,756.56,90.51,92.49,74.82
2017-09-06,776.97,776.87,777.99,772.63,36720.0,761.73,753.16,764.91,758.5,89.39,91.48,73.35
2017-09-07,779.2,777.16,780.54,776.0,41320.0,765.34,755.05,767.51,760.48,87.63,90.95,82.63
2017-09-08,784.74,780.62,786.85,780.18,36360.0,769.04,757.12,770.64,762.79,99.83,91.42,83.93
2017-09-11,779.58,785.06,789.53,779.58,37680.0,771.88,758.85,772.27,764.39,79.51,77.75,78.01
2017-09-12,782.54,777.55,783.58,775.81,40950.0,774.34,760.41,774.14,766.11,77.23,86.42,85.98
2017-09-13,786.43,785.46,786.96,783.56,37970.0,777.52,762.42,776.37,768.05,77.14,83.86,85.74
2017-09-14,789.41,786.82,793.16,786.82,40610.0,780.0,764.43,778.74,770.08,77.16,82.49,85.35
2017-09-15,789.49,786.22,789.88,784.49,47590.0,781.94,766.74,780.7,771.93,77.41,79.85,84.47
2017-09-18,793.7,792.16,795.32,789.83,44590.0,783.91,769.21,783.06,774.01,79.21,80.77,83.69
2017-09-19,792.68,794.15,797.54,792.68,42240.0,785.47,771.66,784.81,775.78,69.56,77.98,87.68
2017-09-20,790.48,793.93,793.98,789.43,33850.0,786.82,774.28,785.84,777.18,81.43,70.11,80.29
2017-09-21,786.41,790.46,791.0,786.0,38420.0,787.55,776.44,785.94,778.06,60.49,53.14,69.76
2017-09-22,789.7,786.51,791.65,785.99,37750.0,788.04,778.54,786.63,779.17,59.16,70.49,69.24
2017-09-25,789.89,789.81,791.16,785.69,35490.0,789.07,780.48,787.22,780.19,51.59,66.76,66.99
2017-09-26,791.05,791.03,791.05,785.24,45390.0,789.92,782.13,787.92,781.23,54.83,62.03,68.06
2017-09-27,788.31,788.02,791.43,787.61,34120.0,790.11,783.82,787.99,781.9,31.63,47.1,61.53
2017-09-28,790.75,788.15,795.95,788.15,44990.0,790.25,785.12,788.49,782.74,44.0,52.95,58.26
2017-09-29,792.72,791.4,797.26,791.4,36410.0,790.57,786.26,789.26,783.69,57.06,47.43,69.79
