Date,Close,Open,High,Low,Volume
2017-01-03,633.89,627.65,634.18,627.58,41740.0
2017-01-04,632.7,632.8,635.39,630.46,47310.0
2017-01-05,634.83,633.61,635.33,632.46,45030.0
2017-01-06,636.34,634.56,640.74,634.26,58780.0
2017-01-09,638.4,636.82,640.02,636.82,47880.0
2017-01-10,639.36,639.0,640.86,638.61,37970.0
2017-01-11,643.39,639.56,643.39,639.52,43040.0
2017-01-12,642.25,644.53,645.14,641.71,55960.0
2017-01-13,640.07,642.21,643.85,640.07,38210.0
2017-01-16,632.7,639.59,640.52,632.7,31880.0
2017-01-17,637.54,633.42,637.54,633.42,45190.0
2017-01-18,633.1,637.09,638.72,633.1,38320.0
2017-01-19,631.0,632.31,634.0,630.48,28890.0
2017-01-20,634.28,632.17,636.39,632.17,31970.0
2017-01-23,635.42,634.81,637.14,634.81,31190.0
2017-01-24,639.32,635.31,640.18,635.31,32619.999999999996
2017-01-25,644.79,640.92,644.79,639.43,31170.0
2017-02-02,652.98,645.72,652.98,645.72,35200.0
2017-02-03,651.18,656.27,657.63,651.18,41520.0
2017-02-06,654.03,652.5,654.03,649.35,35400.0
2017-02-07,656.48,654.24,657.42,653.88,50070.0
2017-02-08,657.97,657.62,657.97,655.12,41560.0
2017-02-09,658.83,658.4,660.08,657.65,50150.0
2017-02-10,658.78,659.12,659.81,657.65,43520.0
2017-02-13,662.68,660.03,662.83,659.32,46710.0
2017-02-14,663.43,664.11,665.24,660.57,53470.0
2017-02-15,669.08,663.43,670.06,663.43,52680.0
2017-02-16,667.72,670.49,676.65,667.47,75920.0
2017-02-17,668.1,667.09,668.76,664.49,57270.0
2017-02-20,667.56,664.9,669.5,663.11,69310.0
2017-02-21,671.52,668.3,673.77,668.3,57990.0
2017-02-22,668.61,671.96,672.43,666.49,66150.0
2017-02-23,667.42,668.69,670.97,662.06,54390.0
2017-02-24,661.81,667.27,668.3,661.37,67860.0
2017-02-27,666.22,659.63,666.64,659.63,53160.0
2017-02-28,657.95,667.17,667.7,657.95,37910.0
2017-03-01,655.99,656.69,657.64,649.45,51820.0
2017-03-02,653.76,655.94,658.71,653.76,41820.0
2017-03-03,656.77,654.36,657.41,650.59,39680.0
2017-03-06,658.61,657.26,660.79,657.26,42180.0
2017-03-07,659.9,658.21,659.9,656.36,39890.0
2017-03-08,662.48,659.64,665.2,658.54,36990.0
2017-03-09,664.3,662.3,666.66,662.04,63380.0
2017-03-10,663.49,664.59,667.49,663.49,55050.0
2017-03-13,662.67,663.86,664.49,659.95,32860.0
2017-03-14,665.46,663.13,667.67,662.82,30190.0
2017-03-15,663.57,666.46,667.42,663.54,35480.0
2017-03-16,668.07,663.85,668.07,663.85,58020.0
2017-03-17,668.35,669.4,671.07,668.35,108030.0
2017-03-20,676.02,672.52,678.78,672.52,46720.0
2017-03-21,679.69,677.14,682.28,677.14,78370.0
2017-03-22,677.96,679.78,685.9,677.96,90740.0
2017-03-23,689.32,677.07,689.32,677.07,68420.0
2017-03-24,691.76,692.52,696.22,689.95,97400.0
2017-03-27,693.49,692.82,695.53,691.38,87540.0
2017-03-28,688.31,693.91,695.04,687.41,75180.0
2017-03-29,689.91,688.57,689.91,685.69,70110.0
2017-03-30,692.5,692.11,696.93,692.11,73330.0
2017-03-31,693.22,693.56,696.97,693.01,61350.0
2017-04-03,696.73,693.42,697.32,693.42,70070.0
2017-04-04,699.07,699.35,702.05,698.49,72180.0
2017-04-05,691.07,697.99,698.88,691.07,75790.0
2017-04-07,697.62,687.09,697.62,685.63,83400.0
2017-04-10,696.72,698.49,699.86,696.66,50580.0
2017-04-11,697.93,696.78,699.4,696.71,61690.0
2017-04-12,692.4,697.92,698.87,689.77,76990.0
2017-04-13,687.72,692.5,693.81,687.72,56770.0
2017-04-14,678.45,686.45,686.45,674.94,59120.0
2017-04-17,669.31,680.27,683.48,669.31,48710.0
2017-04-18,675.71,669.67,675.71,665.35,51820.0
2017-04-19,679.69,675.67,679.69,675.12,40460.0
2017-04-20,674.3,679.43,679.7,674.3,32409.999999999996
2017-04-21,672.6,676.35,677.83,671.95,31050.0
2017-04-24,667.08,671.8,673.13,667.08,35450.0
2017-04-25,668.58,667.96,670.32,665.66,28040.0
2017-04-26,673.53,669.12,673.53,667.96,36840.0
2017-04-27,681.36,673.67,682.41,673.67,47240.0
2017-04-28,680.49,678.59,683.14,677.21,61610.0
2017-05-03,684.99,681.7,684.99,680.95,51220.0
2017-05-04,686.29,684.8,688.75,683.44,66800.0
2017-05-05,684.17,684.95,687.41,684.09,45270.0
2017-05-08,681.11,683.15,684.17,681.06,59550.0
2017-05-09,688.08,680.42,688.08,680.34,74910.0
2017-05-10,690.53,689.07,695.66,689.07,58660.0
2017-05-11,691.02,692.13,693.19,689.69,49920.0
2017-05-12,690.84,691.46,693.85,690.29,45700.0
2017-05-15,695.22,691.33,696.86,691.33,51270.0
2017-05-16,692.91,695.86,698.67,692.91,71740.0
2017-05-17,696.37,692.95,697.47,691.06,44660.0
2017-05-18,695.3,693.93,701.28,693.92,57620.0
2017-05-19,702.03,696.66,702.03,695.53,60060.0
2017-05-22,710.86,707.27,715.28,706.84,85450.0
2017-05-23,708.62,711.96,713.7,708.11,63810.0
2017-05-24,718.28,710.81,719.59,710.27,66780.0
2017-05-25,716.4,718.42,722.06,715.78,69060.0
2017-05-26,718.87,716.24,719.36,716.07,52300.0
2017-05-29,722.26,723.27,725.2,721.92,67600.0
2017-05-30,711.48,722.82,723.54,711.48,70920.0
2017-05-31,713.43,712.02,719.32,709.73,55600.0
2017-06-01,719.76,713.63,719.76,713.63,41830.0
2017-06-02,718.33,720.39,720.75,715.7,43040.0
2017-06-05,721.74,719.05,724.35,719.05,51860.0
2017-06-06,732.69,722.59,732.69,722.59,69350.0
